﻿CRM单号,收货单号,售后日期,业务员,客户名称,产品型号,数量,条码日期,售后方式,业务审核,状态,维修员信息,发货信息,备注
﻿SH-201810131025,"31231231 ",2018-10-13,马旭,DWD,EKTT05,10,3131,客户返修屏,未审核,待收费确认,,,31312
﻿SH-201810131028,"3123122312 ",2018-10-13,190,BAIDU,EKTT05,10,1234,客户返修屏,未审核,待收费确认,,,备注：：：：：
﻿SH-201810131028,"3123122312 ",2018-10-13,190,BAIDU,HDL662A,20,5678,客户返修屏,未审核,待收费确认,,,备注：：：：：
﻿SH-201810151060,"1010101010 ",2018-10-15,张垚,zeng,EKTT05,10,10,客户返修屏,未审核,待检测,,,ddfdfd
﻿SH-201810151061,"1000011 ",2018-10-15,高雪颖,刘翔,EKTT04F3(停产）,20,2018,客户返修屏,未审核,已发货,,,对对对
﻿SH-201810171068,"23123132131 ",2018-10-17,马旭,REB,EKTT04E5,20,3123131,客户返修屏,有效,待维修,,,100321
﻿SH-201810171070,"100010 ",2018-10-17,,藏青措,HDL65008,102,10086,客户返修屏,未审核,待收费确认,,,调进厕所了
﻿SH-201810171073,"100010 ",2018-10-17,1,达日萨布,EKTT05,10,100086,客户返修屏,未审核,待收费确认,,,修理完成
﻿SH-201810171074,"10791 ",2018-10-17,张博阳,任曦措,EKTT04F1,1,20181017,客户返修屏,有效,待维修,,,电线开胶
﻿SH-201810251087,"213123133 ",2018-10-25,马旭,"EE ",EKTT05,20,312313,客户返修屏,未审核,待检测,,,
﻿SH-201810251088,"3123123 ",2018-10-25,马旭,CDD,HDL660,20,2312,客户返修屏,未审核,待检测,,,3123
﻿SH-201810251088,"3123123 ",2018-10-25,马旭,CDD,HDL662B,21,21,业务借物,未审核,待检测,,,3123
﻿SH-201810251088,"3123123 ",2018-10-25,马旭,CDD,ARK-DFD-VC,10,323,业务借物,未审核,待检测,,,3123
﻿SH-201810251088,"3123123 ",2018-10-25,马旭,CDD,ARK-DFD-V9.0,10,21,客户应收,未审核,待检测,,,3123
﻿SH-201810311249,"3213 ",2018-10-31,马旭,DD,EKTT05,20,"112
2121",客户返修屏,未审核,待收费确认,,,312
﻿SH-201810311266,"SSS ",2018-10-31,袁越飞,所得到,,,,,未审核,待检测,,,31231
﻿SH-201811011268,"额前委屈 ",2018-11-01,王洪,大连测试用科技有限公司33,EKTT05,22,2131,客户返修屏,未审核,已入库,"维修员：chen；维修日期：2018-11-01；维修单状态：待换物料；故障类型：；故障现象：312312；故障备注：32131；维修方式：更换触摸屏；维修方式备注信息：32131；维修数量：；计件工资：：31231；维修费用：1232维修员：chen；新条码日期：
维修员：陈冬冬；维修日期：2018-11-26；维修单状态：维修完成；故障类型：；故障现象：321；故障备注：31231；维修方式：更换外壳；维修方式备注信息：33；维修数量：；计件工资：：313；维修费用：3123维修员：陈冬冬；新条码日期：
维修员：陈冬冬；维修日期：2018-11-26；维修单状态：维修完成；故障类型：；故障现象：32；故障备注：323；维修方式：更换外壳；维修方式备注信息：232；维修数量：；计件工资：：32；维修费用：维修员：陈冬冬；新条码日期：
",,12321
﻿SH-201811011268,"额前委屈 ",2018-11-01,王洪,大连测试用科技有限公司33,EKTT04F1,22,32313,客户返修屏,未审核,已入库,"维修员：chen；维修日期：2018-11-01；维修单状态：待换物料；故障类型：；故障现象：3131；故障备注：31；维修方式：更换触摸屏；维修方式备注信息：31；维修数量：；计件工资：：321；维修费用：312维修员：chen；新条码日期：
",,12321
﻿SH-201811011288,"we ",2018-11-01,王洪,"di测试用x srl941",DS043001,32,31,客户应收,未审核,部分入库、部分发货,"维修员：陈冬冬；维修日期：2018-11-21；维修单状态：维修完成；故障类型：；故障现象：31；故障备注：31；维修方式：其他；维修方式备注信息：31；维修数量：；计件工资：：C；维修费用：维修员：陈冬冬；新条码日期：
","发货人：陈冬冬；发货单号：3232；发货日期：2018-11-12；发货数量：10；发货批次：1
",31
﻿SH-201811011290,"123 ",2018-11-01,王洪,北京测试用科技有限公司312,HDL660,21,321,客户退货,未审核,待收费确认,"维修员：；维修日期：2018-11-26；维修单状态：待维修；故障类型：；故障现象：32；故障备注：131；维修方式：更换外壳；维修方式备注信息：231；维修数量：；计件工资：：C；维修费用：66维修员：；新条码日期：
维修员：；维修日期：2018-11-04；维修单状态：待维修；故障类型：；故障现象：2321；故障备注：12；维修方式：更换面膜；维修方式备注信息：231；维修数量：；计件工资：：C；维修费用：3维修员：；新条码日期：
维修员：；维修日期：2018-11-28；维修单状态：不维修；故障类型：；故障现象：434；故障备注：423；维修方式：内核；维修方式备注信息：423；维修数量：；计件工资：：B；维修费用：5维修员：；新条码日期：
维修员：陈冬冬；维修日期：2018-11-19；维修单状态：不维修；故障类型：；故障现象：22；故障备注：22；维修方式：其他；维修方式备注信息：22；维修数量：；计件工资：：C；维修费用：维修员：陈冬冬；新条码日期：
",,31231
﻿SH-201811121297,"2121 ",2018-11-12,陈冬冬,东方测试用科技有限公司3900,HDL662B,10,212,客户应收,有效,已入库,"维修员：陈冬冬；维修日期：2018-11-13；维修单状态：维修完成；故障类型：；故障现象：21；故障备注：221；维修方式：更换液晶屏；维修方式备注信息：12；维修数量：；计件工资：：A；维修费用：11维修员：陈冬冬；新条码日期：
",,121
﻿SH-201811121297,"2121 ",2018-11-12,陈冬冬,东方测试用科技有限公司3900,HDL662C,20,212,入库,有效,已入库,"维修员：陈冬冬；维修日期：2018-11-12；维修单状态：不维修；故障类型：；故障现象：212；故障备注：212；维修方式：更换外壳；维修方式备注信息：121；维修数量：；计件工资：：C；维修费用：11维修员：陈冬冬；新条码日期：
",,121
